,cnpj,razao_social,id_municipio,peso_cobre_ajustado,valor_fob_ajustado,total_peso_municipio,total_valor_fob_municipio
538,26052462000146,LAPIDACAO IRMAOS VIANA LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
539,22926589000196,MARCELO ALVES SANTOS 09206363654,3127701,1128.673076923077,7623.788461538462,6649043,14211456
540,10734367000192,MATTOS E MARINHO COMERCIO LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
541,19992631000162,MDE NOIVAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
542,30219821000184,MINERACAO TURMALINA EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
543,13670380000113,MISAEL DE SOUZA SALES,3127701,1128.673076923077,7623.788461538462,6649043,14211456
544,21908710000194,MULTIGEMAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
545,21080379000167,NEVESTONES LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
546,11037494000103,PASSAROS EM PEDRA ARTESANATO LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
547,11777195000105,POLIANA GAUDIOSO DE FREITAS DIAS,3127701,1128.673076923077,7623.788461538462,6649043,14211456
548,23783448000124,PRIME IMPORTACAO E EXPORTACAO EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
549,15761818000102,R & M COMERCIO DE PEDRAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
550,30868564000101,R.B. MILHOLO JUNIOR EXPORTACAO IMPORTACAO,3127701,1128.673076923077,7623.788461538462,6649043,14211456
551,32288801000190,R2 COMERCIO DE PEDRAS IMPORTACAO E EXPORTACAO EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
552,10212972000101,RELOJOARIA POPULAR LTDA - ME,3127701,1128.673076923077,7623.788461538462,6649043,14211456
553,71504716000174,RIO DOCE LAPIDARIES EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
